"";"Tree_Nr";"TH";"DBH";"G_DBH";"V_Walze";"V_wahr";"f_13"
"1";"T7";27,3117;0,5233;0,215075702865449;5,8740830739503;3,21;0,546468267402505
"2";"T8";25,2633;0,4967;0,19376627989615;4,8951756589004;1,98;0,404479867111605
"3";"T9";26,7046;0,4787;0,179976887261748;4,80621078357008;3,23;0,67204709602868
"4";"T12";25,5255;0,5275;0,218541947703861;5,57839248611491;3,16;0,566471435609005
"5";"T16";23,0892;0,4573;0,164245047889632;3,79228675973329;1,25;0,329616423861341
"6";"T19";29,8686;0,4782;0,179601113510471;5,36443381899885;2,38;0,443662850601478
"7";"T22";23,2182;0,5701;0,25526540653244;5,9268032619515;2,82;0,475804556919183
"8";"T24";23,6376;0,5831;0,267039781638829;6,31217954246598;3,66;0,57983141565871
"9";"T33";28,626;0,4547;0,162382711764584;4,64836750697298;2,45;0,527066759744098
"10";"T34";29,0954;0,602;0,284631436007889;8,28146548322393;4,01;0,484213815552719
"11";"T52";27,1114;0,5847;0,268507282399174;7,27960833603696;3,17;0,435462988346122
