"";"Tree_Nr";"TH";"DBH";"G_DBH";"V_Walze";"V_wahr";"f_13"
"1";"T6";34,1749;0,6333;0,314998769601853;10,7650514512664;3,72;0,3455626772283
"2";"T23";32,6041;0,7109;0,396923589193988;12,9413363944397;3,85;0,297496323614165
"3";"T26";34,1498;0,7661;0,460957415615047;15,7416035517707;4,78;0,303653943785308
"4";"T28";29,0548;0,6463;0,328063710970337;9,53182550950095;3,68;0,386075048932853
"5";"T33";27,8232;0,6782;0,361248000741033;10,0510753742179;4,32;0,429804756124033
"6";"T34";31,7265;0,6393;0,320995755818291;10,184071846969;3,77;0,370185919409242
"7";"T35";22,4469;0,6792;0,362314100208028;8,13282837595959;3,46;0,42543624924235
"8";"T37";26,7575;0,6409;0,322604502584341;8,63208997790051;3,53;0,408939203488072
"9";"T39";23,7469;0,7464;0,437555495588916;10,3905865982004;4,82;0,46388141366675
"10";"T45";24,0056;0,6334;0,315098255987211;7,56412269392659;3,6;0,475930936827681
"11";"T49";24,101;0,6208;0,302686671642894;7,29505147326539;3,46;0,474294117413711
"12";"T51";30,8271;0,7238;0,411459447804827;12,6841015434242;4,56;0,359505163561548
