"";"S1";"S2";"S3";"S4";"S5";"S6";"S7";"S8";"S9";"S10";"S11";"S12";"S13";"S14";"S15";"S16";"S17";"S18";"S19";"S20";"S21";"S22";"S23";"S24";"S25";"S26";"S27";"S28";"S29";"S30";"S31";"S32";"S33";"S34";"S35";"S36";"S37";"S38";"S39";"S40";"S41";"S42";"S43";"S44";"S45";"S46";"S47";"S48";"S49";"S50";"S51";"S52";"S53";"S54";"S55";"S56";"S57";"S58";"S59";"S60";"S61";"S62";"S63";"S64";"S65";"S66";"S67";"S68";"S69";"S70";"S71";"S72";"S73";"S74";"S75";"S76";"S77";"S78";"S79";"S80";"S81";"S82";"S83";"S84";"S85";"S86";"S87";"S88";"S89";"S90";"S91";"S92";"S93";"S94";"S95";"S96";"S97";"S98";"S99";"S100";"S101";"S102";"S103";"S104";"S105";"S106";"S107";"S108";"S109";"S110";"S111";"S112";"S113";"S114";"S115";"S116";"S117";"S118";"S119";"S120";"S121";"S122";"S123";"S124";"S125";"S126";"S127";"S128";"S129";"S130";"S131";"S132";"S133";"S134";"S135";"S136";"S137";"S138";"S139";"S140";"S141";"S142";"S143";"S144";"S145";"S146";"S147";"S148";"S149";"S150";"S151";"S152";"S153";"S154";"S155";"S156";"S157";"S158";"S159";"S160";"S161";"S162";"S163";"S164";"S165";"S166";"S167";"S168";"S169";"S170";"S171";"S172";"S173";"S174";"v_wahr"
"1";0,73;0,7113;0,6926;0,6739;0,6552;0,6333;0,6217;0,5806;0,5282;0,5306;0,5203;0,5108;0,5097;0,5028;0,4993;0,4902;0,4901;0,4872;0,4822;0,4787;0,4645;0,4808;0,4717;0,4587;0,4606;0,4626;0,463;0,4614;0,4704;0,4559;0,4624;0,4697;0,4621;0,4609;0,4592;0,4644;0,4559;0,455758823529412;0,455617647058824;0,455476470588235;0,455335294117647;0,455194117647059;0,455052941176471;0,454911764705882;0,454770588235294;0,454629411764706;0,454488235294118;0,454347058823529;0,454205882352941;0,454064705882353;0,453923529411765;0,453782352941176;0,453641176470588;0,4535;0,4544;0,4553;0,4283;0,4677;0,4512;0,4347;0,4182;0,416380952380952;0,414561904761905;0,412742857142857;0,41092380952381;0,409104761904762;0,407285714285714;0,405466666666667;0,403647619047619;0,401828571428571;0,400009523809524;0,398190476190476;0,396371428571429;0,394552380952381;0,392733333333333;0,390914285714286;0,389095238095238;0,38727619047619;0,385457142857143;0,383638095238095;0,381819047619048;0,38;0,377;0,374;0,371;0,368;0,365;0,362;0,359;0,356;0,353;0,35;0,348;0,346;0,344;0,342;0,34;0,338;0,336;0,334;0,332;0,33;0,328;0,326;0,324;0,322;0,32;0,318;0,316;0,314;0,312;0,31;0,304554954954955;0,29910990990991;0,293664864864865;0,28821981981982;0,282774774774775;0,27732972972973;0,271884684684685;0,26643963963964;0,260994594594594;0,255549549549549;0,250104504504504;0,244659459459459;0,239214414414414;0,233769369369369;0,228324324324324;0,222879279279279;0,217434234234234;0,211989189189189;0,206544144144144;0,201099099099099;0,195654054054054;0,190209009009009;0,184763963963964;0,179318918918919;0,173873873873874;0,168428828828829;0,162983783783784;0,157538738738739;0,152093693693694;0,146648648648649;0,141203603603604;0,135758558558559;0,130313513513514;0,124868468468469;0,119423423423424;0,113978378378378;0,108533333333333;0,103088288288288;0,0976432432432433;0,0921981981981983;0,0867531531531532;0,0813081081081082;0,0758630630630631;0,0704180180180181;0,0649729729729731;0,059527927927928;0,054082882882883;0,0486378378378379;0,0431927927927929;0,0377477477477478;0,0323027027027028;0,0268576576576577;0,0214126126126127;0,0159675675675676;0,0105225225225226;0,00507747747747756;0;0;0;0;0;0;3,72
"2";0,869;0,835866666666667;0,802733333333333;0,7696;0,7365;0,7109;0,6848;0,6757;0,6671;0,6534;0,6337;0,6169;0,5935;0,56;0,5286;0,522;0,4873;0,5;0,5042;0,4837;0,4716;0,4724;0,4667;0,4686;0,4646;0,4697;0,4613;0,4578;0,4547;0,4544;0,4585;0,4531;0,4505;0,4492;0,4484;0,4437;0,45;0,4453;0,4791;0,451;0,4354;0,4417;0,4342;0,4423;0,4471;0,4428;0,4471;0,4311;0,4332;0,4329;0,4329;0,432;0,4391;0,4291;0,4193;0,4234;0,4235;0,4096;0,4256;0,4049;0,4156;0,4119;0,4094;0,4157;0,4046;0,4111;0,4043;0,4196;0,4108;0,400466666666667;0,390133333333333;0,3798;0,37782;0,37584;0,37386;0,37188;0,3699;0,36792;0,36594;0,36396;0,36198;0,36;0,359;0,358;0,357;0,356;0,355;0,354;0,353;0,352;0,351;0,35;0,348;0,346;0,344;0,342;0,34;0,338;0,336;0,334;0,332;0,33;0,326;0,322;0,318;0,314;0,31;0,306;0,302;0,298;0,294;0,29;0,286;0,282;0,278;0,274;0,27;0,266;0,262;0,258;0,254;0,25;0,242229752066116;0,234459504132231;0,226689256198347;0,218919008264463;0,211148760330578;0,203378512396694;0,19560826446281;0,187838016528926;0,180067768595041;0,172297520661157;0,164527272727273;0,156757024793388;0,148986776859504;0,14121652892562;0,133446280991735;0,125676033057851;0,117905785123967;0,110135537190082;0,102365289256198;0,0945950413223138;0,0868247933884295;0,0790545454545452;0,0712842975206609;0,0635140495867766;0,0557438016528923;0,047973553719008;0,0402033057851238;0,0324330578512395;0,0246628099173552;0,0168925619834709;0,00912231404958656;0,00135206611570227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,85
"3";0,9415;0,886;0,8305;0,7946;0,7738;0,7661;0,7536;0,7512;0,7416;0,7327;0,7219;0,703;0,6695;0,6389;0,6266;0,6145;0,6177;0,6011;0,5871;0,6218;0,5959;0,57;0,5571;0,5529;0,552;0,5447;0,542;0,5333;0,5407;0,5518;0,5613;0,543;0,529;0,5262;0,5328;0,5338;0,5359;0,5285;0,5614;0,5425;0,5317;0,5238;0,534;0,5171;0,5207;0,5275;0,5125;0,4997;0,5048;0,5;0,5148;0,4996;0,5018;0,4809;0,4799;0,4761;0,4818;0,4781;0,4777;0,4858;0,4939;0,4948;0,4757;0,4661;0,4787;0,4695;0,45;0,446;0,442;0,438;0,434;0,43;0,426;0,422;0,418;0,414;0,41;0,406;0,402;0,398;0,394;0,39;0,386;0,382;0,378;0,374;0,37;0,366;0,362;0,358;0,354;0,35;0,348;0,346;0,344;0,342;0,34;0,338;0,336;0,334;0,332;0,33;0,326;0,322;0,318;0,314;0,31;0,306;0,302;0,298;0,294;0,29;0,285;0,28;0,275;0,27;0,265;0,26;0,255;0,25;0,245;0,24;0,231118181818182;0,222236363636364;0,213354545454545;0,204472727272727;0,195590909090909;0,186709090909091;0,177827272727273;0,168945454545455;0,160063636363636;0,151181818181818;0,1423;0,133418181818182;0,124536363636364;0,115654545454545;0,106772727272727;0,097890909090909;0,0890090909090908;0,0801272727272727;0,0712454545454545;0,0623636363636363;0,0534818181818181;0,0445999999999999;0,0357181818181817;0,0268363636363635;0,0179545454545454;0,00907272727272718;0,000190909090908992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,78
"4";0,7949;0,75935;0,7238;0,6882;0,6621;0,6463;0,6333;0,6185;0,5989;0,5902;0,5877;0,577;0,5631;0,5709;0,5776;0,5365;0,5316;0,5204;0,519;0,5092;0,4918;0,4891;0,4861;0,5126;0,473;0,4686;0,4692;0,4702;0,4663;0,4647;0,4627;0,4607;0,4596;0,4972;0,4642;0,4872;0,4553;0,4641;0,4533;0,4453;0,4457;0,4469;0,4405;0,4534;0,4449;0,4402;0,4376;0,4436;0,4405;0,4493;0,4468;0,4412;0,4358;0,4318;0,4183;0,4253;0,4256;0,4281;0,4215;0,4207;0,4199;0,4159;0,4241;0,42;0,4072;0,4167;0,4062;0,4206;0,4079;0,407;0,3967;0,396128571428571;0,395557142857143;0,394985714285714;0,394414285714286;0,393842857142857;0,393271428571429;0,3927;0,384525;0,37635;0,368175;0,36;0,358;0,356;0,354;0,352;0,35;0,348;0,346;0,344;0,342;0,34;0,338;0,336;0,334;0,332;0,33;0,328;0,326;0,324;0,322;0,32;0,316;0,312;0,308;0,304;0,3;0,296;0,292;0,288;0,284;0,28;0,27206036036036;0,264120720720721;0,256181081081081;0,248241441441442;0,240301801801802;0,232362162162162;0,224422522522523;0,216482882882883;0,208543243243243;0,200603603603604;0,192663963963964;0,184724324324324;0,176784684684685;0,168845045045045;0,160905405405405;0,152965765765766;0,145026126126126;0,137086486486486;0,129146846846847;0,121207207207207;0,113267567567568;0,105327927927928;0,0973882882882883;0,0894486486486486;0,081509009009009;0,0735693693693693;0,0656297297297297;0,0576900900900901;0,0497504504504504;0,0418108108108108;0,0338711711711711;0,0259315315315315;0,0179918918918919;0,0100522522522522;0,00211261261261259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,68
"5";0,8169;0,7578;0,7301;0,6976;0,6849;0,6782;0,6611;0,6472;0,641;0,6425;0,628;0,6071;0,596;0,5916;0,5795;0,5584;0,5443;0,5353;0,5285;0,5245;0,5221;0,5187;0,5153;0,5117;0,5087;0,5181;0,5017;0,5038;0,5024;0,5213;0,4972;0,4986;0,4915;0,489;0,4884;0,4919;0,4805;0,4762;0,4752;0,4807;0,4704;0,4701;0,4795;0,4675;0,467;0,5011;0,4643;0,4562;0,4668;0,4774;0,4693;0,4693;0,4592;0,4549;0,4541;0,4488;0,4512;0,4503;0,4433;0,4441;0,4357;0,4277;0,4311;0,4351;0,4324;0,4257;0,4165;0,4196;0,4228;0,4257;0,4133;0,4272;0,4165;0,4131;0,4111;0,4027;0,4089;0,4026;0,4104;0,4089;0,39945;0,39;0,388;0,386;0,384;0,382;0,38;0,378;0,376;0,374;0,372;0,37;0,369;0,368;0,367;0,366;0,365;0,364;0,363;0,362;0,361;0,36;0,358;0,356;0,354;0,352;0,35;0,348;0,346;0,344;0,342;0,34;0,336;0,332;0,328;0,324;0,32;0,316;0,312;0,308;0,304;0,3;0,293171074380165;0,286342148760331;0,279513223140496;0,272684297520661;0,265855371900826;0,259026446280992;0,252197520661157;0,245368595041322;0,238539669421488;0,231710743801653;0,224881818181818;0,218052892561983;0,211223966942149;0,204395041322314;0,197566115702479;0,190737190082645;0,18390826446281;0,177079338842975;0,170250413223141;0,163421487603306;0,156592561983471;0,149763636363636;0,142934710743802;0,136105785123967;0,129276859504132;0,122447933884298;0,115619008264463;0,108790082644628;0,101961157024794;0,0951322314049588;0,0883033057851241;0,0814743801652894;0,0746454545454547;0,06781652892562;0,0609876033057853;0,0541586776859505;0,0473297520661158;0,0405008264462811;0,0336719008264464;0,0268429752066117;0,020014049586777;0,0131851239669423;0,00635619834710759;0;0;0;0;0;0;0;0;0;4,32
"6";0,8431;0,7932;0,7354;0,6985;0,6665;0,6393;0,6198;0,6015;0,5871;0,5753;0,5719;0,565;0,5528;0,5378;0,5321;0,5164;0,5029;0,4967;0,492;0,4855;0,4792;0,4972;0,4669;0,4608;0,4658;0,4617;0,493;0,473;0,453;0,4666;0,4567;0,4498;0,4552;0,4581;0,4425;0,4476;0,4558;0,4427;0,4356;0,4394;0,4373;0,4425;0,4495;0,4474;0,4372;0,4355;0,4389;0,4448;0,4313;0,4288;0,4259;0,4383;0,4378;0,4373;0,4292;0,4417;0,4149;0,4438;0,4473;0,4523;0,4128;0,4107;0,4196;0,4114;0,4177;0,4082;0,4035;0,3988;0,4024;0,4021;0,3912;0,3998;0,3942;0,3892;0,389;0,3815;0,383;0,4024;0,3885;0,382333333333333;0,376166666666667;0,37;0,369;0,368;0,367;0,366;0,365;0,364;0,363;0,362;0,361;0,36;0,358;0,356;0,354;0,352;0,35;0,348;0,346;0,344;0,342;0,34;0,337;0,334;0,331;0,328;0,325;0,322;0,319;0,316;0,313;0,31;0,305;0,3;0,295;0,29;0,285;0,28;0,275;0,27;0,265;0,26;0,251455371900826;0,242910743801653;0,234366115702479;0,225821487603306;0,217276859504132;0,208732231404959;0,200187603305785;0,191642975206612;0,183098347107438;0,174553719008264;0,166009090909091;0,157464462809917;0,148919834710744;0,14037520661157;0,131830578512397;0,123285950413223;0,11474132231405;0,106196694214876;0,0976520661157024;0,0891074380165289;0,0805628099173553;0,0720181818181818;0,0634735537190082;0,0549289256198347;0,0463842975206611;0,0378396694214876;0,029295041322314;0,0207504132231405;0,0122057851239669;0,00366115702479335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,77
"7";0,7705;0,7481;0,7257;0,7034;0,6866;0,6792;0,6677;0,6623;0,6487;0,6395;0,6334;0,6463;0,6056;0,5794;0,5488;0,5181;0,4885;0,486;0,4836;0,4715;0,4757;0,4661;0,4666;0,4642;0,4617;0,4693;0,4682;0,4513;0,4642;0,4671;0,448;0,4531;0,4452;0,4381;0,4484;0,4544;0,4395;0,4461;0,4391;0,4592;0,4503;0,4268;0,4227;0,431;0,4333;0,4451;0,4374;0,4454;0,4273;0,4092;0,428;0,4119;0,3958;0,4178;0,414664285714286;0,411528571428571;0,408392857142857;0,405257142857143;0,402121428571429;0,398985714285714;0,39585;0,392714285714286;0,389578571428571;0,386442857142857;0,383307142857143;0,380171428571429;0,377035714285714;0,3739;0,370764285714286;0,367628571428571;0,364492857142857;0,361357142857143;0,358221428571429;0,355085714285714;0,35195;0,348814285714286;0,345678571428571;0,342542857142857;0,339407142857143;0,336271428571429;0,333135714285714;0,33;0,324;0,318;0,312;0,306;0,3;0,294;0,288;0,282;0,276;0,27;0,273;0,276;0,279;0,282;0,285;0,288;0,291;0,294;0,297;0,3;0,299;0,298;0,297;0,296;0,295;0,294;0,293;0,292;0,291;0,29;0,282242342342342;0,274484684684685;0,266727027027027;0,258969369369369;0,251211711711712;0,243454054054054;0,235696396396396;0,227938738738739;0,220181081081081;0,212423423423423;0,204665765765766;0,196908108108108;0,18915045045045;0,181392792792793;0,173635135135135;0,165877477477477;0,15811981981982;0,150362162162162;0,142604504504504;0,134846846846847;0,127089189189189;0,119331531531532;0,111573873873874;0,103816216216216;0,0960585585585585;0,0883009009009009;0,0805432432432432;0,0727855855855856;0,0650279279279279;0,0572702702702703;0,0495126126126126;0,041754954954955;0,0339972972972973;0,0262396396396396;0,018481981981982;0,0107243243243243;0,00296666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,46
"8";0,808;0,7631;0,7183;0,6778;0,6538;0,6409;0,6277;0,6209;0,6155;0,6073;0,5911;0,567;0,5429;0,5294;0,5194;0,5064;0,496;0,4861;0,4802;0,4804;0,4723;0,4689;0,4704;0,4636;0,4626;0,4633;0,4565;0,4571;0,4532;0,453725;0,45425;0,454775;0,4553;0,4503;0,4407;0,4439;0,4418;0,4504;0,443;0,4335;0,4313;0,4282;0,4314;0,434;0,4286;0,4317;0,4318;0,4211;0,4262;0,42075;0,4153;0,4114;0,4078;0,4133;0,4093;0,4085;0,4022;0,4168;0,4129;0,4194;0,4047;0,402;0,4038;0,3918;0,3983;0,4056;0,3973;0,393;0,3984;0,3963;0,3845;0,3905;0,3846;0,3976;0,3953;0,3795;0,3869;0,3944;0,3794;0,372933333333333;0,366466666666667;0,36;0,359;0,358;0,357;0,356;0,355;0,354;0,353;0,352;0,351;0,35;0,347;0,344;0,341;0,338;0,335;0,332;0,329;0,326;0,323;0,32;0,315;0,31;0,305;0,3;0,295;0,29;0,285;0,28;0,275;0,27;0,263126126126126;0,256252252252252;0,249378378378378;0,242504504504505;0,235630630630631;0,228756756756757;0,221882882882883;0,215009009009009;0,208135135135135;0,201261261261261;0,194387387387387;0,187513513513514;0,18063963963964;0,173765765765766;0,166891891891892;0,160018018018018;0,153144144144144;0,14627027027027;0,139396396396397;0,132522522522523;0,125648648648649;0,118774774774775;0,111900900900901;0,105027027027027;0,0981531531531533;0,0912792792792794;0,0844054054054055;0,0775315315315317;0,0706576576576578;0,0637837837837839;0,05690990990991;0,0500360360360362;0,0431621621621623;0,0362882882882884;0,0294144144144145;0,0225405405405407;0,0156666666666668;0,00879279279279291;0,00191891891891903;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,53
"9";0,957;0,8991;0,8412;0,7978;0,7684;0,7464;0,7329;0,7147;0,6856;0,6368;0,6192;0,6042;0,5867;0,5762;0,5693;0,5721;0,5593;0,5605;0,5563;0,5454;0,5529;0,5434;0,565;0,5505;0,5405;0,5382;0,5311;0,5393;0,5306;0,526;0,536;0,535;0,534;0,5187;0,5115;0,5191;0,5215;0,5171;0,5036;0,5125;0,5116;0,5092;0,5089;0,5137;0,5162;0,5041;0,5011;0,5071;0,5051;0,5018;0,5007;0,5013;0,4911;0,4928;0,4834;0,4828;0,4918;0,4888;0,481;0,4741;0,4797;0,4728;0,4659;0,4774;0,4674;0,4584;0,4662;0,4677;0,4241;0,43905;0,454;0,438933333333333;0,423866666666667;0,4088;0,4102;0,4116;0,413;0,4144;0,4158;0,4172;0,4186;0,42;0,418;0,416;0,414;0,412;0,41;0,408;0,406;0,404;0,402;0,4;0,398;0,396;0,394;0,392;0,39;0,388;0,386;0,384;0,382;0,38;0,378;0,376;0,374;0,372;0,37;0,368;0,366;0,364;0,362;0,36;0,351697297297297;0,343394594594595;0,335091891891892;0,326789189189189;0,318486486486486;0,310183783783784;0,301881081081081;0,293578378378378;0,285275675675675;0,276972972972973;0,26867027027027;0,260367567567567;0,252064864864865;0,243762162162162;0,235459459459459;0,227156756756756;0,218854054054054;0,210551351351351;0,202248648648648;0,193945945945946;0,185643243243243;0,17734054054054;0,169037837837838;0,160735135135135;0,152432432432432;0,14412972972973;0,135827027027027;0,127524324324324;0,119221621621621;0,110918918918919;0,102616216216216;0,0943135135135133;0,0860108108108106;0,0777081081081079;0,0694054054054052;0,0611027027027025;0,0527999999999998;0,0444972972972972;0,0361945945945945;0,0278918918918918;0,0195891891891891;0,0112864864864864;0,00298378378378365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,82
"10";0,8166;0,7687;0,7209;0,6793;0,6466;0,6334;0,6244;0,6153;0,6104;0,6085;0,603;0,6026;0,5997;0,5852;0,5476;0,5148;0,507;0,5197;0,4917;0,4884;0,4885;0,4834;0,4708;0,4772;0,47;0,459;0,4591;0,4578;0,4526;0,4517;0,4569;0,4588;0,4753;0,4494;0,4495;0,4432;0,4369;0,4464;0,43;0,4359;0,4458;0,4332;0,4315;0,4364;0,4355;0,4273;0,4297;0,4298;0,4328;0,4317;0,4232;0,4129;0,439;0,4384;0,428;0,4034;0,4123;0,4099;0,4011;0,4194;0,4108;0,4218;0,3942;0,4041;0,3945;0,4113;0,3921;0,4228;0,3747;0,37604;0,37738;0,37872;0,38006;0,3814;0,3789;0,3764;0,383;0,3764;0,3698;0,3632;0,3566;0,35;0,354633333333333;0,359266666666667;0,3639;0,359057142857143;0,354214285714286;0,349371428571429;0,344528571428571;0,339685714285714;0,334842857142857;0,33;0,33;0,33;0,33;0,33;0,33;0,33;0,33;0,33;0,33;0,33;0,327;0,324;0,321;0,318;0,315;0,312;0,309;0,306;0,303;0,3;0,291245045045045;0,28249009009009;0,273735135135135;0,26498018018018;0,256225225225225;0,24747027027027;0,238715315315315;0,22996036036036;0,221205405405405;0,21245045045045;0,203695495495496;0,194940540540541;0,186185585585586;0,177430630630631;0,168675675675676;0,159920720720721;0,151165765765766;0,142410810810811;0,133655855855856;0,124900900900901;0,116145945945946;0,107390990990991;0,098636036036036;0,0898810810810811;0,0811261261261261;0,0723711711711712;0,0636162162162162;0,0548612612612613;0,0461063063063063;0,0373513513513513;0,0285963963963964;0,0198414414414414;0,0110864864864865;0,00233153153153151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,6
